column,name,value,notes
45,sample_time,character,time of sampling- extracted from sample date column
46,SampleDate_ed,character,data of sampling edited so is consistent formatting- e.g. where date and time recorded- this separated out to add time to previous column and date only here
47,sample_month,integer,month of sampling - info extracted from DD column sample_time
48,sample_year,integer,year of sampling- info extracted from DD column sample
49,SampleCollectionMethod_ed,character,sampling protocol edited to standardise values- e.g. misspellings removed
50,WaterDepth_ed,numeric,depth data edited to standardise ie -9 values as null values removed replaced with blank
51,StorageLocation_ed,character,storage location ie institute where sample held
52,HabitatType_ed,character,habitat type edited to harmonise data entries as far as possible to a std list
53,HabitatDescription_ed,character,habitat description edited to harmonise data entries as far as possible to a std list
54,ResearchVessel_ed,character,research vessel edited to harmonise data entries as far as possible to a std list
55,absence_data,character,y if no of indivs = zero
56,Number.of.individuals_ed,numeric,no of indivs edited so numeric values only
57,subarea_note,character,note on subarea for 'OA' ie outside area' values
58,contract_area,character,contract area- as determined from geographic location (ie not contractorID)
59,SubArea_ed,character,subarea edited post mapping to check actual location
60,region,character,"region as outlined in methods- east, central and west"
61,site,character,"site name created from station ID, contract area, subarea"
62,DUPLICATE,character,noted if record is a known duplicate
63,ContractorID,character,DeepData original field (unedited)
64,SubArea,character,DeepData original field (unedited)
65,StationID,character,DeepData original field (unedited)
66,StationDesc,logical,DeepData original field (unedited)
67,SampleID,character,DeepData original field (unedited)
68,ActualLatitude,numeric,key latitude field (includes longiitude values for trawl collected samples- see methods)
69,ActualLongitude,numeric,key longitude field (includes longiitude values for trawl collected samples- see methods)
70,decimalLongitude,numeric,DeepData original field (unedited)
71,decimalLatitude,numeric,DeepData original field (unedited)
72,AreaSampled,character,DeepData original field (unedited)
73,Phylum_orig,character,taxon info- renamed with _orig to make clear this is original taxonomic name data - ie not cleaned
74,Class_orig,character,taxon info- renamed with _orig to make clear this is original taxonomic name data - ie not cleaned
75,Order_orig,character,taxon info- renamed with _orig to make clear this is original taxonomic name data - ie not cleaned
76,Family_orig,character,taxon info- renamed with _orig to make clear this is original taxonomic name data - ie not cleaned
77,Subfamily_orig,character,taxon info- renamed with _orig to make clear this is original taxonomic name data - ie not cleaned
78,Species_orig,character,taxon info- renamed with _orig to make clear this is original taxonomic name data - ie not cleaned
79,Putative.species.name.or.number,character,DeepData original field (unedited)
80,Notes.on.taxanomic.identification,character,DeepData original field (unedited)
81,Taxonomic.Status,character,DeepData original field (unedited)
82,Description.of.DNA.Sequence,character,DeepData original field (unedited)
83,Voucher.code,character,DeepData original field (unedited)
84,Voucher.institution.code,character,DeepData original field (unedited)
85,Voucher.status,character,DeepData original field (unedited)
86,Relative.abundance....,character,DeepData original field (unedited)
