rec,include,cat,new_species,marker,genBank_accession_no,BIN,SRA_NO,taxonConceptID,scientificName/TCID,phylum,lower_taxon,catalog_no,in-house_spec_no,typeStatus,year_date,cruise,contractor_Area,STATION-collection_code,lat,long,depth,data_name,database_link,DATA_SOURCE,ref_short,ref2,record_elsewhere,note
42,,sequence,,COI,MF157502,,,,Bentharca cf. asperula,Mollusca,,20170061,NHM_108,,,,UK-1 Stratum A,BC05,,,,,,,Wiklund_etal_2017,,,
43,,sequence,,18S,MF157471,,,,Dacrydium panamensis,Mollusca,,20170067,NHM_117,,,,UK-1 Stratum A,BC05,,,,,,,Wiklund_etal_2017,,,
44,,sequence,,16S,MF157456,,,Gadilida sp. (NHM_132),Gadilida sp. (NHM_132),Mollusca,,20170077,NHM_132,,,,UK-1 Stratum A,EB02,,,,,,,Wiklund_etal_2017,,,
45,,sequence,,18S,MF157472,,,Gadilida sp. (NHM_132),Gadilida sp. (NHM_132),Mollusca,,20170077,NHM_132,,,,UK-1 Stratum A,EB02,,,,,,,Wiklund_etal_2017,,,
46,,sequence,,18S,MF157473,,,,Nucula profundorum,Mollusca,,20170051,NHM_141,,,,UK-1 Stratum A,EB02,,,,,,,Wiklund_etal_2017,,,
47,,sequence,,16S,MF157457,,,,Nucula profundorum,Mollusca,,20170051,NHM_141,,,,UK-1 Stratum A,EB02,,,,,,,Wiklund_etal_2017,,,
48,,sequence,,COI,MF157503,,,,Nucula profundorum,Mollusca,,20170051,NHM_141,,,,UK-1 Stratum A,EB02,,,,,,,Wiklund_etal_2017,,,
49,,sequence,,18S,MF157474,,,,Vesicomya galatheae,Mollusca,,20170040,NHM_143,,,,UK-1 Stratum A,EB02,,,,,,,Wiklund_etal_2017,,,
49,,,,COI,MK971192,,,Maldanidae sp. 121,Maldanidae,Annelida,Polychaeta,012-BGR-0123,CCFZP123-19,,2015,SO239,BGR,SO239_12-1,,,,,,,Bonifacio_etal_2020,,,
50,,sequence,,COI,MF157504,,,Ledella sp. (NHM_381),Ledella sp. (NHM_381),Mollusca,,20170050,NHM_144,,,,UK-1 Stratum A,EB02,,,,,,,Wiklund_etal_2017,,,
51,,sequence,,16S,MF157458,,,Ledella sp. (NHM_381),Ledella sp. (NHM_381),Mollusca,,20170050,NHM_144,,,,UK-1 Stratum A,EB02,,,,,,,Wiklund_etal_2017,,,
52,,sequence,,COI,MF157505,,,,Bathyspinula calcar,Mollusca,,20170044,NHM_146,,,,UK-1 Stratum A,EB02,,,,,,,Wiklund_etal_2017,,,
53,,sequence,,18S,MF157475,,,,Bathyspinula calcar,Mollusca,,20170044,NHM_146,,,,UK-1 Stratum A,EB02,,,,,,,Wiklund_etal_2017,,,
53,,,,COI,MK971194,,,Aphelochaeta sp. 16,Aphelochaeta,Annelida,Polychaeta,057-BGR-0128,CCFZP128-19,,2015,SO239,BGR,SO239_57-1,,,,,,,Bonifacio_etal_2020,,,
54,,sequence,,COI,MF157506,,,,Bathyspinula calcar,Mollusca,,20170045,NHM_149A,,,,UK-1 Stratum A,EB02,,,,,,,Wiklund_etal_2017,,,
55,,sequence,,18S,MF157476,,,,Bentharca cf. asperula,Mollusca,,20170062,NHM_150,,,,UK-1 Stratum A,EB02,,,,,,,Wiklund_etal_2017,,,
56,,sequence,,18S,MF157477,,,,Bentharca cf. asperula,Mollusca,,20170063,NHM_170,,,,UK-1 Stratum A,MC03,,,,,,,Wiklund_etal_2017,,,
57,,sequence,,18S,MF157478,,,Thyasira sp. (NHM_180),Thyasira sp. (NHM_180),Mollusca,,20170039,NHM_180,,,,UK-1 Stratum A,EB03,,,,,,,Wiklund_etal_2017,,,
58,,sequence,,COI,MF157507,,,,Bathyspinula calcar,Mollusca,,20170043,NHM_181,,,,UK-1 Stratum A,EB03,,,,,,,Wiklund_etal_2017,,,
59,,sequence,,18S,MF157479,,,,Bathyspinula calcar,Mollusca,,20170043,NHM_181,,,,UK-1 Stratum A,EB03,,,,,,,Wiklund_etal_2017,,,
60,,sequence,,18S,MF157480,,,Yoldiella sp. (NHM_190),Yoldiella sp. (NHM_190),Mollusca,,20170055,NHM_185,,,,UK-1 Stratum A,EB03,,,,,,,Wiklund_etal_2017,,,
61,,sequence,,COI,MF157508,,,Myonera sp. (NHM_186),Myonera sp. (NHM_186),Mollusca,,20170037,NHM_186,,,,UK-1 Stratum A,EB03,,,,,,,Wiklund_etal_2017,,,
62,,sequence,,18S,MF157481,,,Myonera sp. (NHM_186),Myonera sp. (NHM_186),Mollusca,,20170037,NHM_186,,,,UK-1 Stratum A,EB03,,,,,,,Wiklund_etal_2017,,,
63,,sequence,,18S,MF157482,,,Yoldiella sp. (NHM_190),Yoldiella sp. (NHM_190),Mollusca,,20170056,NHM_190,,,,UK-1 Stratum A,EB03,,,,,,,Wiklund_etal_2017,,,
64,,sequence,,16S,MF157459,,,Gadilida sp. (NHM_192),Gadilida sp. (NHM_192),Mollusca,,20170075,NHM_192,,,,UK-1 Stratum A,EB03,,,,,,,Wiklund_etal_2017,,,
65,,sequence,,18S,MF157483,,,Gadilida sp. (NHM_192),Gadilida sp. (NHM_192),Mollusca,,20170075,NHM_192,,,,UK-1 Stratum A,EB03,,,,,,,Wiklund_etal_2017,,,
66,,sequence,,18S,MF157484,,,Yoldiella sp. (NHM_190),Yoldiella sp. (NHM_190),Mollusca,,20170060,NHM_193,,,,UK-1 Stratum A,EB03,,,,,,,Wiklund_etal_2017,,,
67,,sequence,,18S,MF157485,,,Yoldiella sp. (NHM_190),Yoldiella sp. (NHM_190),Mollusca,,20170057,NHM_194,,,,UK-1 Stratum A,EB03,,,,,,,Wiklund_etal_2017,,,
67,,,,COI,MK971225,,,Sabellidae sp. 64,Sabellidae,Annelida,Polychaeta,058-BGR-0144,CCFZP144-19,,2015,SO239,BGR,SO239_58-1,,,,,,,Bonifacio_etal_2020,,,
68,,sequence,,18S,MF157486,,,Yoldiella sp. (NHM_190),Yoldiella sp. (NHM_190),Mollusca,,20170058,NHM_246,,,,UK-1 Stratum A,BC08,,,,,,,Wiklund_etal_2017,,,
69,,sequence,,COI,MF157509,,,,Vesicomya galatheae,Mollusca,,20170041,NHM_255,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
69,,,,COI,MK971165,,,Leanira sp. 4,Leanira,Annelida,Polychaeta,058-BGR-0147,CCFZP147-19,,2015,SO239,BGR,SO239_58-1,,,,,,,Bonifacio_etal_2020,,,
70,,sequence,,16S,MF157460,,,,Vesicomya galatheae,Mollusca,,20170041,NHM_255,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
71,,sequence,,18S,MF157487,,,,Vesicomya galatheae,Mollusca,,20170041,NHM_255,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
72,,sequence,,18S,MF157488,,,,Vesicomya galatheae,Mollusca,,20170042,NHM_260,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
73,,sequence,,COI,MF157510,,,,Vesicomya galatheae,Mollusca,,20170042,NHM_260,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
74,,sequence,,COI,MF157511,,,Fissidentalium sp. (NHM_261),Fissidentalium sp. (NHM_261),Mollusca,,20170074,NHM_261,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
75,,sequence,,16S,MF157461,,,Fissidentalium sp. (NHM_261),Fissidentalium sp. (NHM_261),Mollusca,,20170074,NHM_261,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
76,,sequence,,18S,MF157489,,,Fissidentalium sp. (NHM_261),Fissidentalium sp. (NHM_261),Mollusca,,20170074,NHM_261,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
77,,sequence,,COI,MF157512,,,,Nucula profundorum,Mollusca,,20170052,NHM_274A,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
77,,,,COI,MK971211,,,Aricidea sp. 36,Aricidea,Annelida,Polychaeta,060-BGR-0162,CCFZP162-19,,2015,SO239,BGR,SO239_60-1,,,,,,,Bonifacio_etal_2020,,,
78,,sequence,,18S,MF157490,,,,Bentharca cf. asperula,Mollusca,,20170064,NHM_282,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
78,,,,COI,MK971180,,,Aricidea sp. 345,Aricidea,Annelida,Polychaeta,060-BGR-0163,CCFZP163-19,,2015,SO239,BGR,SO239_60-1,,,,,,,Bonifacio_etal_2020,,,
79,,sequence,,COI,MF157513,,,,Bentharca cf. asperula,Mollusca,,20170064,NHM_282,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
80,,sequence,,COI,MF157514,,,,Bathyspinula calcar,Mollusca,,20170046,NHM_284,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
80,,,,COI,MK971164,,,Chaetozone sp. 163,Chaetozone,Annelida,Polychaeta,060-BGR-0165,CCFZP165-19,,2015,SO239,BGR,SO239_60-1,,,,,,,Bonifacio_etal_2020,,,
81,,sequence,,COI,MF157515,,,,Ledella knudseni sp. nov.,Mollusca,,20170047,NHM_288A,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
81,,,,COI,MK971230,,,Prionospio sp. 29,Prionospio,Annelida,Polychaeta,060-BGR-0166,CCFZP166-19,,2015,SO239,BGR,SO239_60-1,,,,,,,Bonifacio_etal_2020,,,
82,,sequence,,18S,MF157491,,,,Ledella knudseni sp. nov.,Mollusca,,20170048,NHM_288C,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
82,,,,COI,MK971224,,,Oligobregma sp. 68,Oligobregma,Annelida,Polychaeta,060-BGR-0167,CCFZP167-19,,2015,SO239,BGR,SO239_60-1,,,,,,,Bonifacio_etal_2020,,,
83,,sequence,,COI,MF157516,,,,Ledella knudseni sp. nov.,Mollusca,,20170048,NHM_288C,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
83,,,,COI,MK971201,,,cf Pseudoscalibregma sp. 166,Scalibregmatidae,Annelida,Polychaeta,060-BGR-0168,CCFZP168-19,,2015,SO239,BGR,SO239_60-1,,,,,,,Bonifacio_etal_2020,,,
84,,sequence,,18S,MF157492,,,Yoldiella sp. (NHM_190),Yoldiella sp. (NHM_190),Mollusca,,20170059,NHM_289,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
85,,sequence,,COI,MF157517,,,Yoldiella sp. (NHM_190),Yoldiella sp. (NHM_190),Mollusca,,20170059,NHM_289,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
85,,,,COI,MK971170,,,Aricidea sp. 345,Aricidea,Annelida,Polychaeta,060-BGR-0171,CCFZP171-19,,2015,SO239,BGR,SO239_60-1,,,,,,,Bonifacio_etal_2020,,,
86,,sequence,,16S,MF157462,,,Prochaetodermatidae sp. (NHM_344),Prochaetodermatidae sp. (NHM_344),Mollusca,,20170071,NHM_344,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
87,,sequence,,16S,MF157463,,,Gadila sp. (NHM_345),Gadila sp. (NHM_345),Mollusca,,20170076,NHM_345,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
88,,sequence,,COI,MF157518,,,Gadila sp. (NHM_345),Gadila sp. (NHM_345),Mollusca,,20170076,NHM_345,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
88,,,,COI,MK971208,,,Chaetozone sp. 374,Chaetozone,Annelida,Polychaeta,060-BGR-0174,CCFZP174-19,,2015,SO239,BGR,SO239_60-1,,,,,,,Bonifacio_etal_2020,,,
89,,sequence,,18S,MF157493,,,Gadila sp. (NHM_345),Gadila sp. (NHM_345),Mollusca,,20170076,NHM_345,,,,UK-1 Stratum A,EB04,,,,,,,Wiklund_etal_2017,,,
90,,sequence,,COI,MF157519,,,Acanthomeniidae sp. (NHM_367),Acanthomeniidae sp. (NHM_367),Echinodermata,,20170078,NHM_367,,,,UK-1 Stratum A,EB05,,,,,,,Wiklund_etal_2017,,,
90,,,,COI,MK971176,,,Aricidea sp. 239,Aricidea,Annelida,Polychaeta,088-IOM-0241,CCFZP241-19,,2015,SO239,IOM,SO239_88-1,,,,,,,Bonifacio_etal_2020,,,
91,,sequence,,16S,MF157464,,,,Nucula profundorum,Mollusca,,20170053,NHM_378,,,,UK-1 Stratum A,EB05,,,,,,,Wiklund_etal_2017,,,
91,,,,COI,MK971213,,,Prionospio sp. 155,Prionospio,Annelida,Polychaeta,088-IOM-0242,CCFZP242-19,,2015,SO239,IOM,SO239_88-1,,,,,,,Bonifacio_etal_2020,,,
92,,sequence,,COI,MF157520,,,,Nucula profundorum,Mollusca,,20170053,NHM_378,,,,UK-1 Stratum A,EB05,,,,,,,Wiklund_etal_2017,,,
92,,,,COI,MK971169,,,Prionospio sp. 29,Prionospio,Annelida,Polychaeta,088-IOM-0243,CCFZP243-19,,2015,SO239,IOM,SO239_88-1,,,,,,,Bonifacio_etal_2020,,,
93,,sequence,,COI,MF157521,,,Ledella sp. (NHM_381),Ledella sp. (NHM_381),Mollusca,,20170049,NHM_381,,,,UK-1 Stratum A,EB05,,,,,,,Wiklund_etal_2017,,,
94,,sequence,,18S,MF157494,,,Ledella sp. (NHM_381),Ledella sp. (NHM_381),Mollusca,,20170049,NHM_381,,,,UK-1 Stratum A,EB05,,,,,,,Wiklund_etal_2017,,,
94,,,,COI,MK971183,,,Chaetozone sp. 374,Chaetozone,Annelida,Polychaeta,088-IOM-0245,CCFZP245-19,,2015,SO239,IOM,SO239_88-1,,,,,,,Bonifacio_etal_2020,,,
95,,sequence,,COI,MF157522,,,,Veleropilina oligotropha,Mollusca,,20170072,NHM_405,,,,UK-1 Stratum A,BC12,,,,,,,Wiklund_etal_2017,,,
95,,,,COI,MK971193,,,Anguillosyllis sp. 244,Anguillosyllis,Annelida,Polychaeta,088-IOM-0246,CCFZP246-19,,2015,SO239,IOM,SO239_88-1,,,,,,,Bonifacio_etal_2020,,,
96,,sequence,,16S,MF157465,,,,Veleropilina oligotropha,Mollusca,,20170072,NHM_405,,,,UK-1 Stratum A,BC12,,,,,,,Wiklund_etal_2017,,,
97,,sequence,,18S,MF157495,,,,Veleropilina oligotropha,Mollusca,,20170072,NHM_405,,,,UK-1 Stratum A,BC12,,,,,,,Wiklund_etal_2017,,,
98,,sequence,,18S,MF157496,,,,Bentharca cf. asperula,Mollusca,,20170065,NHM_427,,,,UK-1 Stratum A,RV06,,,,,,,Wiklund_etal_2017,,,
99,,sequence,,18S,MF157497,,,,Leptochiton macleani,Mollusca,,20170073,NHM_446,,,,UK-1 Stratum A,RV06,,,,,,,Wiklund_etal_2017,,,
100,,sequence,,COI,MF157523,,,,Leptochiton macleani,Mollusca,,20170073,NHM_446,,,,UK-1 Stratum A,RV06,,,,,,,Wiklund_etal_2017,,,
101,,sequence,,16S,MF157466,,,,Leptochiton macleani,Mollusca,,20170073,NHM_446,,,,UK-1 Stratum A,RV06,,,,,,,Wiklund_etal_2017,,,
101,,,,COI,MK971162,,,Leanira sp. 4,Leanira,Annelida,Polychaeta,089-IOM-0253,CCFZP253-19,,2015,SO239,IOM,SO239_89-1,,,,,,,Bonifacio_etal_2020,,,
102,,sequence,,COI,MF157524,,,Limopsis sp. (NHM_453),Limopsis sp. (NHM_453),Mollusca,,20170069,NHM_453,,,,UK-1 Stratum A,BC13,,,,,,,Wiklund_etal_2017,,,
103,,sequence,,18S,MF157498,,,Limopsis sp. (NHM_453),Limopsis sp. (NHM_453),Mollusca,,20170069,NHM_453,,,,UK-1 Stratum A,BC13,,,,,,,Wiklund_etal_2017,,,
104,,sequence,,18S,MF157499,,,,Bentharca cf. asperula,Mollusca,,20170066,NHM_454,,,,UK-1 Stratum A,BC13,,,,,,,Wiklund_etal_2017,,,
105,,sequence,,16S,MN217450,,,,Ophelina martinezarbizui sp. n.,Annelida,,ANEA 2019. 7122,NHM_1870,Other material,,,OMS Stratum A,AB02_EB11,,,,,,,Wiklund_etal_2019,,,
106,,sequence,,18S,MN217506,,,,Ophelina meyerae sp. n.,Annelida,,ANEA 2019. 7130,NHM_1241,Holotype,,,OMS Stratum A,AB02_EB06,,,,,,,Wiklund_etal_2019,,,
106,,,,COI,MK971184,,,cf Pseudomystides sp. 256,Phyllodocidae,Annelida,Polychaeta,090-IOM-0258,CCFZP258-19,,2015,SO239,IOM,SO239_90-1,,,,,,,Bonifacio_etal_2020,,,
107,,sequence,,16S,MN217457,,,,Ophelina meyerae sp. n.,Annelida,,ANEA 2019. 7130,NHM_1241,Holotype,,,OMS Stratum A,AB02_EB06,,,,,,,Wiklund_etal_2019,,,
108,,sequence,,COI,MN217527,,,,Ophelina martinezarbizui sp. n.,Annelida,,ANEA 2019. 7121,NHM_1766,Paratype,,,OMS Stratum A,AB02_EB10,,,,,,,Wiklund_etal_2019,,,
109,,sequence,,16S,MN217449,,,,Ophelina martinezarbizui sp. n.,Annelida,,ANEA 2019. 7121,NHM_1766,Paratype,,,OMS Stratum A,AB02_EB10,,,,,,,Wiklund_etal_2019,,,
110,,sequence,,COI,MN217520,,,Ophelina cf. abranchiata sp. (NHM_1769),Ophelina cf. abranchiata sp. (NHM_1769),Annelida,,ANEA 2019. 7148,NHM_1769,Other material,,,OMS Stratum A,AB02_EB10,,,,,,,Wiklund_etal_2019,,,
111,,sequence,,18S,MN217501,,,Ophelina cf. abranchiata sp. (NHM_1769),Ophelina cf. abranchiata sp. (NHM_1769),Annelida,,ANEA 2019. 7148,NHM_1769,Other material,,,OMS Stratum A,AB02_EB10,,,,,,,Wiklund_etal_2019,,,
112,,sequence,,16S,MN217433,,,Ophelina cf. abranchiata sp. (NHM_1769),Ophelina cf. abranchiata sp. (NHM_1769),Annelida,,ANEA 2019. 7148,NHM_1769,Other material,,,OMS Stratum A,AB02_EB10,,,,,,,Wiklund_etal_2019,,,
113,,sequence,,16S,MN217411,,,,Ammotrypanella keenani sp. n.,Annelida,,ANEA 2019. 7112,NHM_1949,Other material,,,OMS Stratum A,AB02_BC24,,,,,,,Wiklund_etal_2019,,,
113,,,,COI,MK971186,,,Paraonides sp. 34,Paraonides,Annelida,Polychaeta,090-IOM-0265,CCFZP265-19,,2015,SO239,IOM,SO239_90-1,,,,,,,Bonifacio_etal_2020,,,
114,,sequence,,16S,MN217447,,,,Ophelina martinezarbizui sp. n.,Annelida,,ANEA 2019. 7119,NHM_994,Other material,,,OMS Stratum A,AB02_EB04,,,,,,,Wiklund_etal_2019,,,
115,,sequence,,16S,MN217419,,,Notomastus sp. (NHM_162),Notomastus sp. (NHM_162),Annelida,,ANEA 2019. 7102,NHM_1025D,Other material,,,OMS Stratum A,AB02_EB04,,,,,,,Wiklund_etal_2019,,,
116,,sequence,,16S,MN217469,,,Travisia sp. (NHM_1244),Travisia sp. (NHM_1244),Annelida,,ANEA 2019. 7184,NHM_1863,Other material,,,OMS Stratum A,AB02_EB11,,,,,,,Wiklund_etal_2019,,,
117,,sequence,,18S,MN217511,,,Travisia sp. (NHM_1244),Travisia sp. (NHM_1244),Annelida,,ANEA 2019. 7184,NHM_1863,Other material,,,OMS Stratum A,AB02_EB11,,,,,,,Wiklund_etal_2019,,,
118,,sequence,,16S,MN217408,,,,Ammotrypanella keenani sp. n.,Annelida,,ANEA 2019. 7109,NHM_1166C,Other material,,,OMS Stratum A,AB02_EB05,,,,,,,Wiklund_etal_2019,,,
119,,sequence,,COI,MN217513,,,,Ammotrypanella keenani sp. n.,Annelida,,ANEA 2019. 7109,NHM_1166C,Other material,,,OMS Stratum A,AB02_EB05,,,,,,,Wiklund_etal_2019,,,
120,,sequence,,18S,MN217504,,,,Ophelina juhazi sp. n.,Annelida,,ANEA 2019. 7132,NHM_1073,Holotype,,,OMS Stratum A,AB02_EB05,,,,,,,Wiklund_etal_2019,,,
120,,,,COI,MK971161,,,Spionidae sp. 271,Spionidae,Annelida,Polychaeta,094-IOM-0275,CCFZP275-19,,2015,SO239,IOM,SO239_94-1,,,,,,,Bonifacio_etal_2020,,,
121,,sequence,,16S,MN217443,,,,Ophelina juhazi sp. n.,Annelida,,ANEA 2019. 7132,NHM_1073,Holotype,,,OMS Stratum A,AB02_EB05,,,,,,,Wiklund_etal_2019,,,
121,,,,COI,MK971229,,,Aricidea sp. 239,Aricidea,Annelida,Polychaeta,094-IOM-0276,CCFZP276-19,,2015,SO239,IOM,SO239_94-1,,,,,,,Bonifacio_etal_2020,,,
122,,sequence,,16S,MN217481,,,,Travisia zieglerae sp. n.,Annelida,,ANEA 2019. 7173,NHM_1097,Other material,,,OMS Stratum A,AB02_EB05,,,,,,,Wiklund_etal_2019,,,
