"","size_based.Assemblage","size_based.t","size_based.Method","size_based.Order.q","size_based.qD","size_based.qD.LCL","size_based.qD.UCL","size_based.SC","size_based.SC.LCL","size_based.SC.UCL","coverage_based.Assemblage","coverage_based.SC","coverage_based.t","coverage_based.Method","coverage_based.Order.q","coverage_based.qD","coverage_based.qD.LCL","coverage_based.qD.UCL"
"28","Assemblage1",2114,"Extrapolation",0,5034.36650007741,4966.98879467813,5101.74420547668,0.890946045984982,0.878172530878235,0.903719561091728,"Assemblage1",0.890946045984982,2114,"Extrapolation",0,5034.36650007741,4836.00148013645,5232.73152001836
"29","Assemblage1",2196,"Extrapolation",0,5114.20102704757,5038.36074378922,5190.04131030591,0.895760225135494,0.882947398534751,0.908573051736238,"Assemblage1",0.895760225135494,2196,"Extrapolation",0,5114.20102704757,4905.77534464639,5322.62670944875
"30","Assemblage1",2277,"Extrapolation",0,5189.6012512991,5105.32837860051,5273.87412399768,0.90030700710204,0.887492312224184,0.913121701979897,"Assemblage1",0.90030700710204,2277,"Extrapolation",0,5189.6012512991,4971.67371256572,5407.52879003248
"31","Assemblage1",2358,"Extrapolation",0,5261.71263134174,5168.96337439503,5354.46188828845,0.904655465287878,0.891871994482268,0.917438936093488,"Assemblage1",0.904655465287878,2358,"Extrapolation",0,5261.71263134174,5034.69769293702,5488.72756974645
"32","Assemblage1",2439,"Extrapolation",0,5330.678621606,5229.43528612656,5431.92195708544,0.908814250277593,0.896091741142704,0.921536759412482,"Assemblage1",0.908814250277593,2439,"Extrapolation",0,5330.678621606,5094.97266221555,5566.38458099645
"33","Assemblage1",2521,"Extrapolation",0,5397.43247075585,5287.59626092422,5507.26868058748,0.912839638802956,0.90020596550197,0.925473312103942,"Assemblage1",0.912839638802956,2521,"Extrapolation",0,5397.43247075585,5153.31426205793,5641.55067945377
"34","Assemblage1",2602,"Extrapolation",0,5460.47856605535,5342.18168986482,5578.77544224588,0.916641442471502,0.904119423455937,0.929163461487068,"Assemblage1",0.916641442471502,2602,"Extrapolation",0,5460.47856605535,5208.41535525978,5712.54177685092
"35","Assemblage1",2683,"Extrapolation",0,5520.77468564222,5394.06349845957,5647.48587282487,0.920277417190562,0.907888159897412,0.932666674483713,"Assemblage1",0.920277417190562,2683,"Extrapolation",0,5520.77468564222,5261.11302177319,5780.43634951125
"36","Assemblage1",2764,"Extrapolation",0,5578.44077931484,5443.37865704848,5713.5029015812,0.92375479616913,0.911516978477482,0.935992613860778,"Assemblage1",0.92375479616913,2764,"Extrapolation",0,5578.44077931484,5311.51209545011,5845.36946317957
"37","Assemblage1",2846,"Extrapolation",0,5634.2571853917,5490.8210983052,5777.6932724782,0.9271206353441,0.915052864554352,0.939188406133848,"Assemblage1",0.9271206353441,2846,"Extrapolation",0,5634.2571853917,5360.29457720133,5908.21979358208
"38","Assemblage1",2927,"Extrapolation",0,5686.97334336033,5535.35810406207,5838.5885826586,0.930299523454531,0.918414181256281,0.942184865652781,"Assemblage1",0.930299523454531,2927,"Extrapolation",0,5686.97334336033,5406.3675008245,5967.57918589617
"39","Assemblage1",3008,"Extrapolation",0,5737.39010192305,5577.69976911149,5897.0804347346,0.933339753253842,0.921649308839663,0.945030197668022,"Assemblage1",0.933339753253842,3008,"Extrapolation",0,5737.39010192305,5450.4307929174,6024.34941092869
"40","Assemblage1",3090,"Extrapolation",0,5786.18970130274,5618.44124929216,5953.93815331332,0.936282465170636,0.924800252336751,0.94776467800452,"Assemblage1",0.936282465170636,3090,"Extrapolation",0,5786.18970130274,5493.08071851327,6079.29868409221
