rec,reference,full_citation,year_published,descr_id_with,new_gen_data_publ,OA,DESCRIPTION,size_cat,categ,synthesis_muli-datasets,journal,article_type,key_provided
163,DeSmet_etal_2021,"De Smet, B., Simon-Lledó, E., Mevenkamp, L., Pape, E., Pasotti, F., Jones, D. O., & Vanreusel, A. (2021). The megafauna community from an abyssal area of interest for mining of polymetallic nodules. Deep Sea Research Part I: Oceanographic Research Papers, 172, 103530.",2021,morphology only (imagery),no,yes,,megafauna,general ecology,,Deep Sea Research Part I: Oceanographic Research Papers,article,
164,Drazen_etal_2021,"Drazen, J.C., Leitner, A.B., Jones, D.O. and Simon-Lledó, E., 2021. Regional variation in communities of demersal fishes and scavengers across the Clarion Clipperton Zone and Pacific ocean. Frontiers in Marine Science, p.1110.",2021,morphology only (baited camera & visual transect),no,yes,,megafauna,community composition/species assemblages,yes,Frontiers in Marine Science,article,
165,Drennan_etal_2021,"Drennan, R., Wiklund, H., Rabone, M., Georgieva, M.N., Dahlgren, T.G. and Glover, A.G., 2021. Neanthes goodayi sp. nov.(Annelida, Nereididae), a remarkable new annelid species living inside deep-sea polymetallic nodules. European Journal of Taxonomy, 760, pp.160-185.. https://doi.org/10.5852/ejt.2021.760.1447",2021,morphology and molecular data,yes,yes,y,macrofauna,taxonomy/species description,,European Journal of Taxonomy,article,
166,Durden_etal_2021,"Durden, J.M., Putts, M., Bingo, S.R.D., Leitner, A.B., Drazen, J.C., Gooday, A.J., Jones, D.O., Sweetman, A.K., Washburn, T.W. and Smith, C.R., 2021. Megafaunal ecology of the western Clarion Clipperton Zone. Frontiers in Marine Science, 8, p.722.",2021,morphology only (ROV imagery),no,yes,,megafauna,community composition/species assemblages,,Frontiers in Marine Science,article,
10,Foell&Pawson_1986,"Foell EJ, Pawson DL (1986) Photographs of invertebrate megafauna from abyssal depths of the north-eastern Equatorial Pacific Ocean. Ohio J Sci 86:61–68.",1986,morphology only (imagery),no,n,,megafauna,,,,,
16,Foell&Pawson_1989,"Foell EJ, Hennigar HF, Pawson DL (1991) Assessment of abyssal benthic megafauna on a ferromanganese nodule deposit and videotaped television survey data. Trans Soc Mining, Metall 288:1854–1858.",1989,,no,,,megafauna,,,,,
143,Fujimoto&Murakami_2020,"Fujimoto, S. and Murakami, C., 2020. A new genus and species of Nanaloricidae (Loricifera: Nanaloricida) from the Clarion-Clipperton Fracture Zone. Zoologischer Anzeiger, 289, pp.177-188.",2020,morphology only (specimens),no,n,y,meiofauna,taxonomy/species description,,Zoologischer Anzeiger,article,
23,Fukushima&Imajima_1997,"Fukushima, T., Imajima, M., 1997. A study of a macrobenthos community in a deep sea resedimentation area. Proceedings of International Symposium on Environmental Studies for Deep-Sea Mining, Tokyo, Japan, November 20-21, 1997, pp. 331-335.",1997,morphology only (specimens),no,n,,macrofauna,,,,,
30,Fukushima_etal_2000,"Fukushima, T., Shirayama, Y. and Kuboki, E., 2000. The characteristics of deep-sea epifaunal megabenthos community two years after an artificial rapid deposition event. Publications of the Seto Marine Biological Laboratory, 39(1), pp.17-27.",2000,morphology only (imagery),no,yes,,megafauna,,,,,
144,Gebruk_etal_2020,"Gebruk, A.V., Kremenetskaia, A. and Rouse, G.W., 2020. A group of species “Psychropotes longicauda”(Psychropotidae, Elasipodida, Holothuroidea) from the Kuril-Kamchatka Trench area (North-West Pacific). Progress in Oceanography, 180, p.102222.",2020,morphology and molecular data,yes,yes,y,megafauna,,,,,
118,Gheerardyn&George_2019,"Gheerardyn, H. and George, K.H., 2019. Description of a new species of Neoargestes Drzycimski, 1967 (Copepoda, Harpacticoida, Argestidae) from the Clarion Clipperton Fracture Zone (Pacific Ocean), with remarks on the systematics of the genus. Marine Biodiversity, 49(4), pp.1891-1912.",2019,morphology only (specimens),no,n,y,meiofauna,taxonomy/species description,,Marine Biodiversity,article,
37,Glover_etal_2002,"Glover, A.G., Smith, C.R., Paterson, G.L.J., Wilson, G.D.F., Hawkins, L. and Sheader, M., 2002. Polychaete species diversity in the central Pacific abyss: local and regional patterns, and relationships with productivity. Marine Ecology Progress Series, 240, pp.157-170.",2002,morphology only (specimens),no,yes,,macrofauna,community composition/species assemblages,,,,
78,Glover_etal_2016,"Glover, A.G., Wiklund, H., Rabone, M., Amon, D.J., Smith, C.R., O'Hara, T., Mah, C.L. and Dahlgren, T.G., 2016. Abyssal fauna of the UK-1 polymetallic nodule exploration claim, Clarion-Clipperton Zone, central Pacific Ocean: Echinodermata. Biodiversity data journal, (4).",2016,morphology and molecular data,yes,yes,,megafauna,community composition/species assemblages,,Biodiversity data journal,article,
102,Grischenko_etal_2018,"Grischenko, A.V., Gordon, D.P. and Melnik, V.P., 2018. Bryozoa (Cyclostomata and Ctenostomata) from polymetallic nodules in the Russian exploration area, Clarion-Clipperton Fracture Zone, eastern Pacific Ocean-taxon novelty and implications of mining. Zootaxa, 4484(1), pp.1-91.",2018,morphology only (specimens),no,n,y,macrofauna,taxonomy/species description: MONOGRAPH,,Zootaxa,article,
167,Grischenko_etal_2021,"Grischenko, A.V., Gordon, D.P. and Melnik, V.P., 2021. Vasopora ceramica n. gen., n. sp.—a new abyssal cyclostome bryozoan from polymetallic nodules in the Russian exploration area, Clarion–Clipperton Fracture Zone, eastern Pacific Ocean. Zootaxa, 5047(4), pp.444-452.",2021,morphology only (specimens),no,n,y,macrofauna,,,,,
145,Guggolz_etal_2020,"Guggolz, T., Meißner, K., Schwentner, M., Dahlgren, T.G., Wiklund, H., Bonifácio, P. and Brandt, A., 2020. High diversity and pan-oceanic distribution of deep-sea polychaetes: Prionospio and Aurospio (Annelida: Spionidae) in the Atlantic and Pacific Ocean. Organisms Diversity & Evolution, pp.1-17.",2020,morphology and molecular data,yes,yes,,macrofauna,genetic studies,,Organisms Diversity & Evolution,article,
146,Harbour_etal_2020,"Harbour, R.P., Leitner, A.B., Ruehlemann, C., Vink, A. and Sweetman, A.K., 2020. Benthic and Demersal Scavenger Biodiversity in the Eastern End of the Clarion-Clipperton Zone–An Area Marked for Polymetallic Nodule Mining. Frontiers in Marine Science, 7, p.458.",2020,morphology only (imagery),no,yes,,megafauna,,,,,
119,Hauqiuer_etal_2019,"Hauquier, F., Macheriotou, L., Bezerra, T.N., Egho, G., Martínez Arbizu, P. and Vanreusel, A., 2019. Distribution of free-living marine nematodes in the Clarion–Clipperton Zone: implications for future deep-sea mining scenarios. Biogeosciences, 16(18), pp.3475-3489.",2019,morphology only (specimens),no,yes,,meiofauna,genetic studies,,Biogeosciences,article,
6,Hecker&Paul_1979,"Hecker, B, Paul, AZ (1979) Abyssal community structure of the benthic infauna of the eastern equatorial Pacific: DOMES sites A, B, and C. In: Bischoff, JL and Piper, DZ (eds) Marine Geology and Oceanography of the Pacific Manganese Nodule Province, Plenum Press, New York, NY, pp. 287-308.",1979,morphology only (specimens),no,yes,,macrofauna,,,,,
,Hendrickx&Wickstein_2016,,,,,,,,,,,,
103,Herzog_etal_2018,"Herzog, S., Amon, D.J., Smith, C.R. and Janussen, D., 2018. Two new species of Sympagella (Porifera: Hexactinellida: Rossellidae) collected from the Clarion-Clipperton Zone, East Pacific. Zootaxa, 4466(1), pp.152-163. https://doi.org/10.11646/zootaxa.4466.1.12",2018,morphology only (specimens),no,n,y,megafauna,taxonomy/species description,,Zootaxa,article,
120,Jakiel_etal_2019,"Jakiel, A., Palero, F. and B?a?ewicz, M., 2019. Deep ocean seascape and pseudotanaidae (crustacea: tanaidacea) diversity at the clarion-clipperton fracture Zone. Scientific reports, 9(1), pp.1-49.. https://doi.org/10.1038/s41598-019-51434-z",2019,morphology and molecular data,not avail,yes,y,macrofauna,taxonomy/species description,,Scientific Reports,article,y
69,Janssen_etal_2015,"Janssen, A., Kaiser, S., Meissner, K., Brenke, N., Menot, L. and Martínez Arbizu, P., 2015. A reverse taxonomic approach to assess macrofaunal distribution patterns in abyssal Pacific polymetallic nodule fields. Plos one, 10(2), p.e0117790.",2015,molecular data only,yes,yes,,macrofauna,genetic studies,,PLoS ONE,article,
121,Janssen_etal_2019,"Janssen, A., Stuckas, H., Vink, A. and Arbizu, P.M., 2019. Biogeography and population structure of predominant macrofaunal taxa (Annelida and Isopoda) in abyssal polymetallic nodule fields: implications for conservation and management. Marine Biodiversity, 49(6), pp.2641-2658.",2019,molecular data only,yes,n,,macrofauna,genetic studies,,Marine Biodiversity,article,
168,Jazdzewska_etal_2021a,"Ja?d?ewska, A.M., Brandt, A., Martínez Arbizu, P. and Vink, A., 2021. Exploring the diversity of the deep sea—four new species of the amphipod genus Oedicerina described using morphological and molecular methods. Zoological Journal of the Linnean Society. 1-45. https://doi.org/10.1093/zoolinnean/zlab032",2021,morphology and molecular data,yes,yes,y,macrofauna,taxonomy/species description/ genetic studies,,Zoological Journal of the Linnean Society,article,
169,Jazdzewska_etal_2021b,"Jaz?dz?ewska AM, Horton T, Hendrycks E, Mamos T, Driskell AC,
Brix S and Martínez Arbizu P (2021) Pandora’s Box in the Deep
Sea –Intraspecific Diversity Patterns and Distribution of Two Congeneric Scavenging Amphipods. Front. Mar. Sci. 8:750180.
doi: 10.3389/fmars.2021.750180",2021,morphology and molecular data,existing data,yes,,macrofauna,,,,,
170,Jones_etal_2021,"Jones, D.O., Simon-Lledó, E., Amon, D.J., Bett, B.J., Caulle, C., Clément, L., Connelly, D.P., Dahlgren, T.G., Durden, J.M., Drazen, J.C. and Felden, J., 2021. Environment, ecology, and potential effectiveness of an area protected from deep-sea mining (Clarion Clipperton Zone, abyssal Pacific). Progress in Oceanography, 197, p.102653.",2021,morphology and molecular data,existing data,yes,,macrofauna,,,,,
62,Kaiser_2014,"Kaiser, S., 2014. New species of Hebefustis Siebenaller & Hessler 1977 (Isopoda, Asellota, Nannoniscidae) from the Clarion Clipperton Fracture Zone (equatorial NE Pacific). Zootaxa, 3784(2), pp.101-119.",2014,morphology only (specimens),no,n,y,macrofauna,taxonomy/species description,,Zootaxa,article,
91,Kaiser_etal_2018,"Kaiser, S., Brix, S., Kihara, T.C., Janssen, A. and Jennings, R.M., 2018. Integrative species delimitation in the deep-sea genus Thaumastosoma Hessler, 1970 (Isopoda, Asellota, Nannoniscidae) reveals a new genus and species from the Atlantic and central Pacific abyss. Deep Sea Research Part II: Topical Studies in Oceanography, 148, pp.151-179. https://doi.org/10.1016/j.dsr2.2017.05.006",2018,morphology and molecular data,yes,n,y,macrofauna,taxonomy/species description,,Deep Sea Research Part II: Topical Studies in Oceanography,article,
171,Kaiser_etal_2021,"Kaiser, S., Kihara, T.C., Brix, S., Mohrbeck, I., Janssen, A. and Jennings, R.M., 2021. Species boundaries and phylogeographic patterns in new species of Nannoniscus (Janiroidea: Nannoniscidae) from the equatorial Pacific nodule province inferred from mtDNA and morphology. Zoological Journal of the Linnean Society. zlaa174. doi:10.1093/zoolinnean/zlaa174",2021,morphology and molecular data,yes,yes,y,macrofauna,taxonomy/species description,,Zoological Journal of the Linnean Society,article,
104,Kersken_etal_2018a,"Kersken, D., Janussen, D. and Arbizu, P.M., 2018. Deep-sea glass sponges (Hexactinellida) from polymetallic nodule fields in the Clarion-Clipperton Fracture Zone (CCFZ), northeastern Pacific: Part I–Amphidiscophora. Marine Biodiversity, 48(1), pp.545-573.",2018,morphology and molecular data,existing data,n,y,megafauna,taxonomy/species description,,Marine Biodiversity,article,
105,Kersken_etal_2018b,"Kersken, D., Kocot, K., Janussen, D., Schell, T., Pfenninger, M. and Arbizu, P.M., 2018. First insights into the phylogeny of deep-sea glass sponges (Hexactinellida) from polymetallic nodule fields in the Clarion-Clipperton Fracture Zone (CCFZ), northeastern Pacific. Hydrobiologia, 811(1), pp.283-293. doi:10.1007/s10750-017-3498-3",2018,morphology and molecular data,yes,n,,megafauna,genetic studies,,Hydrobiologia,article,
123,Kersken_etal_2019,"Kersken, D., Janussen, D. and Arbizu, P.M., 2019. Deep-sea glass sponges (Hexactinellida) from polymetallic nodule fields in the Clarion-Clipperton Fracture Zone (CCFZ), northeastern Pacific: Part II—Hexasterophora. Marine Biodiversity, 49(2), pp.947-987. https://doi.org/10.1007/s12526-018-0880-y",2019,morphology and molecular data,existing data,n,y,megafauna,taxonomy/species description,,Marine Biodiversity,article,
93,Kersten_etal_2017,"Kersten, O., Smith, C.R. and Vetter, E.W., 2017. Abyssal near-bottom dispersal stages of benthic invertebrates in the Clarion-Clipperton polymetallic nodule province. Deep Sea Research Part I: Oceanographic Research Papers, 127, pp.31-40.",2017,molecular data only,yes,n,,macrofauna,general biology,,Deep Sea Research Part I: Oceanographic Research Papers,article,
124,Kersten_etal_2019,"Kersten, O., Vetter, E.W., Jungbluth, M.J., Smith, C.R. and Goetze, E., 2019. Larval assemblages over the abyssal plain in the Pacific are highly diverse and spatially patchy. PeerJ, 7, p.e7691.",2019,molecular data only,yes- genomic data,yes,,all (meroplankton),,,PeerJ,article,
194,Khodami_etal_2020,"Genus level molecular phylogeny of Aegisthidae Gisbrecht, 1893 (Copepoda: Harpacticoida) reveals morphological adaptations to deep-sea and plagic habitats",2020,morphology and molecular data,yes,yes,,meiofauna,,,,,
31,Kim_etal_2000,"Kim, D.S., Hyun, J.H., Choi, J.W., Lee, K.Y. 2000. Meiobenthic Faunal Communities of the Deep-sea Sediments in the Northeastern Pacific along a Latitudinal Transect. The Sea: JOURNAL OF THE KOREAN SOCIETY OF OCEANOGRAPHY, 5(3), pp.245-254.",2000,morphology only (specimens),no,yes,,meiofauna,,,,,
125,Kristensen_etal_2019,"Kristensen, R.M., Gooday, A.J. and Goineau, A., 2019. Loricifera inhabiting spherical agglutinated structures in the abyssal eastern equatorial Pacific nodule fields. Marine Biodiversity, 49(5), pp.2455-2466.",2019,morphology only (specimens),no,yes,,meiofauna,,,,,
172,Kupryanova_etal_2021,"Kupriyanova, E.K., Bailey-Brock, J. and Nishi, E., 2011. New records of Serpulidae (Annelida, Polychaeta) collected by R/V “Vityaz” from bathyal and abyssal depths of the Pacific Ocean. Zootaxa, 2871(1), pp.43-60.",2021,morphology only (specimens),no,n,,macrofauna,,,,,
