rec,layer,inclusion_criteria,inc_notes_mar2022,include,taxon_note,DD_record,date_year,year,ScientificName_accepted,qualif_ed,TR_w_TCID,CCZ_endemic,other_rank,taxonRank_ed,Authority,AphiaID_accepted,occurrenceID,occurrenceID_ed,scientificName,decimalLatitude,originalScientificName,basisOfRecord,minimumDepthInMeters,maximumDepthInMeters,depth,id,class,order,family,decimalLongitude,kingdom,phylum,rightsHolder,institutionID,individualCount,type,catalogNumber,samplingProtocol,eventID,taxonRank,eventTime,taxonomicStatus,verbatimDepth,locationID,accessRights,habitat,recordedBy,identifiedBy,dateIdentified,identificationRemarks,identificationReferences,identificationQualifier,previousIdentifications,taxonRemarks,genus,species,subclass,taxonConceptID,institutionCode,recordNumber,datasetName,associatedSequences
44000,NA,not in CCZ shapefile but nearby,,yes,,NA,1979,1979,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.18333,Amphiophiura convexa,PreservedSpecimen,4831,4831,4831,59b1a9b4-05ed-4fde-8c5a-24f3b9b44b92,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8583,Animalia,Echinodermata,NA,NA,2,NA,E31219.339379,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
44847,NA,not in CCZ shapefile but nearby,,yes,,NA,1979,1979,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.14833,Amphiophiura convexa,PreservedSpecimen,4877,4877,4877,5b60fc69-9c96-45e1-8570-83563b77ce97,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8683,Animalia,Echinodermata,NA,NA,3,NA,E31218.339378,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
46746,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.23,Amphiophiura convexa,PreservedSpecimen,4846,4846,4846,5f3a5174-6510-4abd-b383-3c7306cecc18,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.9167,Animalia,Echinodermata,NA,NA,2,NA,E31185.339341,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
48815,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4831,4831,4831,63542ddf-36fe-42c1-9f3c-d6f9d6910498,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8833,Animalia,Echinodermata,NA,NA,1,NA,E31186.339342,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
50177,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4831,4831,4831,660d2922-e6fa-4c55-a126-3f60123391c2,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8833,Animalia,Echinodermata,NA,NA,1,NA,E31232.339394,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
52150,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4923,4923,4923,6a1fca4c-26b8-44f8-b45a-45722194507e,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8667,Animalia,Echinodermata,NA,NA,1,NA,E31241.339404,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
53242,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4862,4862,4862,6c782f7b-3027-446b-b83e-7eb6a7d72edc,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8833,Animalia,Echinodermata,NA,NA,3,NA,E31191.339348,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
54423,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.23,Amphiophiura convexa,PreservedSpecimen,4907,4907,4907,6ee4bcac-20ae-4314-9fbb-b09b66180900,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.9167,Animalia,Echinodermata,NA,NA,1,NA,E31196.339353,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
58044,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4892,4892,4892,7643ab74-2a72-4870-9660-a3b369e518ed,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8833,Animalia,Echinodermata,NA,NA,2,NA,E31236.339398,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
61201,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4846,4846,4846,7ca5f7b3-90eb-497f-bf01-cd28ba70c134,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8833,Animalia,Echinodermata,NA,NA,2,NA,E31253.339417,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
64577,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.23,Amphiophiura convexa,PreservedSpecimen,4816,4816,4816,83756197-e402-4442-9823-4a625de3d1f9,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.9167,Animalia,Echinodermata,NA,NA,4,NA,E31189.339345,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
68677,NA,not in CCZ shapefile but nearby,,yes,,NA,1979,1979,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.15833,Amphiophiura convexa,PreservedSpecimen,4816,4816,4816,8b9b89c0-cba4-4916-8a9a-db079b7470c6,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.955,Animalia,Echinodermata,NA,NA,2,NA,E31220.339381,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
72126,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.23,Amphiophiura convexa,PreservedSpecimen,4923,4923,4923,92997f5c-0811-432f-98e0-ee0aa5321f23,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.9167,Animalia,Echinodermata,NA,NA,2,NA,E31188.339344,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
74101,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4862,4862,4862,96b5ab3d-f5db-4ab1-a1a5-e6bd9fd4ac30,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8833,Animalia,Echinodermata,NA,NA,2,NA,E31187.339343,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
84209,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.23,Amphiophiura convexa,PreservedSpecimen,4907,4907,4907,ab4cefe4-c9c8-4484-a6ae-78ca8fd4e6f1,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.9167,Animalia,Echinodermata,NA,NA,1,NA,E31252.339416,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
87913,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.23,Amphiophiura convexa,PreservedSpecimen,4816,4816,4816,b2f1bffd-36fc-4f5c-bfe6-d4cc3bf81cf4,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.9167,Animalia,Echinodermata,NA,NA,1,NA,E31225.339386,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
96291,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4892,4892,4892,c3cc125b-c3b7-495a-aa57-7456e0b5068a,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8833,Animalia,Echinodermata,NA,NA,1,NA,E31194.339351,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
97592,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4846,4846,4846,c68abde9-a7dd-4a01-8d5c-e8f03de6ff4c,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8833,Animalia,Echinodermata,NA,NA,6,NA,E31175.339330,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
99070,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.23,Amphiophiura convexa,PreservedSpecimen,4816,4816,4816,c96aeb73-da75-4102-a32d-266104b0e297,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.9167,Animalia,Echinodermata,NA,NA,3,NA,E31192.339349,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
99146,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4846,4846,4846,c98c92ea-1d47-4f96-82f9-cd16672ed904,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8833,Animalia,Echinodermata,NA,NA,4,NA,E31235.339397,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
102996,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4877,4877,4877,d145fa06-b674-475d-b2d6-888e77a18200,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8667,Animalia,Echinodermata,NA,NA,2,NA,E31215.339375,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
103960,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.23,Amphiophiura convexa,PreservedSpecimen,4755,4755,4755,d346059c-96e6-4e01-b126-ef6b984efb82,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.9167,Animalia,Echinodermata,NA,NA,3,NA,E31200.339359,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
105186,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.23,Amphiophiura convexa,PreservedSpecimen,4877,4877,4877,d5b02561-d6a4-4b8e-8b95-a1f2accdfdc0,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.9167,Animalia,Echinodermata,NA,NA,1,NA,E31190.339347,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
107182,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4801,4801,4801,d9ae3b5d-417a-4681-a0cf-681377e7a3e3,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8833,Animalia,Echinodermata,NA,NA,3,NA,E31195.339352,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
109203,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4846,4846,4846,ddadb445-f4c0-4b77-b9e1-4ef5492caf3b,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8667,Animalia,Echinodermata,NA,NA,2,NA,E31256.339420,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
109860,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.23,Amphiophiura convexa,PreservedSpecimen,4941,4941,4941,defbb299-c8d7-430e-80da-532020e24c21,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.9167,Animalia,Echinodermata,NA,NA,1,NA,E31197.339354,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
110165,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4846,4846,4846,df987e00-3a81-4d55-8f3f-8585026d7c33,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8833,Animalia,Echinodermata,NA,NA,2,NA,E31234.339396,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
112311,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.23,Amphiophiura convexa,PreservedSpecimen,4877,4877,4877,e3f5b057-3426-48fa-a477-f8294ce4fbde,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.9167,Animalia,Echinodermata,NA,NA,1,NA,E31227.339388,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
120055,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.23,Amphiophiura convexa,PreservedSpecimen,4877,4877,4877,f35fc118-ff64-47cc-9b85-f46fd05ae9b8,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.9167,Animalia,Echinodermata,NA,NA,1,NA,E31184.339340,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
123462,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.23,Amphiophiura convexa,PreservedSpecimen,4785,4785,4785,fa3a1d62-2532-4db0-8484-20d674a7ef9d,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.9167,Animalia,Echinodermata,NA,NA,1,NA,E31229.339390,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
